"","x"
"38","Die besten #DIY-Tipps gibt es mit #o2More und @selbstde jetzt gratis auf Deinem Smartphone: http://t.co/41d1M8wBJX"
"39","Mit #o2More und @JOYGermany gibt es jetzt 3 Ausgaben Stars &amp; Sternchen auf Deinem Smartphone: http://t.co/41d1M8wBJX Und das gratis."
"40","Und was schaust Du am liebsten zu Weihnachten? Wir legen uns bequem mit @Maxdome aufs Sofa und genießen entspannt. http://t.co/flTA9BSvYw"
"41","Mit #o2 und #SdR kannst Du bei jeder Runde gewinnen, wenn Du richtig tippst. Samstag geht's los. Jetzt anmelden auf http://t.co/cJy3EH5DAV"
"42","Unser Weihnachtsbaum wächst &amp; wächst-und hat einen Freund bekommen. Wie sieht's bei Euch aus? http://t.co/bJwXBBQQRS http://t.co/ufltTVO8TX"
"43","Impressionen vom #o2FanEvent aus der @o2WorldHamburg: Beste Vorbereitung für's #Fanta4 Konzert. http://t.co/9r5iQTkRRZ"
"44","SoMe-Reporterin @kleinaberhannah interviewt mit extra langem Selfie-Stativ beim #o2FanEvent in der @o2WorldHamburg http://t.co/Ue7io8BblH"
"45","@f95Exilist Bei welcher Session bist Du gerade? 1,2, oder 3? :)"
"46","Start der Session Nr. 2: Unter dem Thema „o2 im Social Web“ begeben sich die Gäste auf eine Rundreise durch die Kanäle von #o2. #o2FanEvent"
"47","@schwinni2000 Danke :)"
"48","Herzlich Willkommen zum #o2FanEvent. Die Gäste sind da, die Location ist gefüllt &amp; die Veranstaltung kann beginnen. http://t.co/0xnllPOdm3"
"49","Das #o2-Social-Media-Team begrüßt die ersten Gäste zum #o2FanEvent. Und lädt diese anschließend zum Konzert der @fantastische4 ein."
"50","Wir freuen uns auf Euch:Heute um 17h fällt der Startschuss zum ersten #o2FanEvent in der @o2WorldHamburg. #Vorfreude http://t.co/vO3M7betk5"
"51","@tightdev @o2de Mmmmm. Schoko-Mousse :)"
"52","@muskatcherry Das: https://t.co/X7L9CG07ac :) ^DR"
"53","Wir sind bereit &amp; freuen uns schon riesig. Morgen startet das Fan Event von o2 in der @o2WorldHamburg #o2FanEvent"
"54","Ich habe meine Ernährung umgestellt. Die Schoki steht jetzt links vom Laptop. - Was sind Deine Tipps? http://t.co/RDwLzYUKmy #RedenIstGold"
"55","Nur jetzt bis 24.12. Komm in Deinen #o2Shop, scanne den QR-Code &amp; sicher Dir täglich tolle Gewinne. Shopfinder: http://t.co/74xymJB2Fi"
"56","@JediRitterin Das tut mir leid. So sollte es natürlich nicht sein."
"57","@JediRitterin Selbstverständlich tun wir das! Können wir da noch helfen?"
"58","@GR707fan Sorry, das kann schon mal passieren :-( ^MZ"
"59","Wann kommt Dir die #Wohnidee? Mit #o2More fliegt sie Dir mit 3 Ausgaben gratis auf Dein Handy. #Design #Interior http://t.co/41d1M8wBJX"
"60","#AdventAdvent: Hol Dir Stimmung auf Dein Weihnachtspullover. Mit Deinem Smartphone: http://t.co/hLnLhhkUUU"
"61","Ein prächtiges Kerlchen. Unser #o2More Weihnachtsbaum: http://t.co/bJwXBBQQRS Wie sieht Deiner aus? http://t.co/U2kI6noccS"
"62","Weihnachtszeit=Genießerzeit: http://t.co/41d1M8wBJX 3x gratis Kochen&amp;Genießen-Magazin auf Deinem Handy. #o2More"
"63","#LastMinute: Gewinne Tickets für das @okkidmusik #MoreMusic Geburtstags-Event am 11.12 in Köln http://t.co/A1BcFihA8D"
"64","Komm jetzt bis 24.12. in Deinen #o2Shop, scanne den QR-Code &amp; sicher Dir täglich tolle Gewinne."
"65","#AdventAdvent: Die Weihnachtssongs bei @Napster_DE bringen uns so richtig in Stimmung. Unser Lieblingslied: #SantaBaby. Was ist Deins?"
"66","Hege und pflege Deinen virtuellen #o2More Geschenkebaum http://t.co/wvHZkjO1yD &amp; gewinne tolle Weihnachtsgeschenke."
"67","Gewinne 1.000 € für Deine Einweihungsparty, mach Dein Wohnzimmer zur Tanzfläche &amp; Deine Küche zur Bar. So geht's: http://t.co/uPnePQZmOM"
"68","Deine Worte kommen von Herzen, Deine Stimme aus der Karte: Gewinne 1 von 10 telefonierenden Grußkarten von #o2: http://t.co/qJjctmov3v"
"69","@TommiZeng Das könnte an den baulichen Gegebenheiten liegen. Hilft die manuelle Umstellung auf 2G/GSM? ^AR"
"70","@Link_Ranger Was ist denn bloß passiert? Können wir hier weiterhelfen?"
"71","#FanFrage: Welches dieser Tattoos hat @edsheeran nicht? Überzeugt Euch heute selbst in der @o2WorldHamburg http://t.co/tZs6TGiRKD"
"72","Jetzt mit #o2More schneller zu @HerthaBSC Tickets und doppelt #FanMeilen auf http://t.co/r72R6AfXaD sammeln."
"73","Premiere von #Stichtag mit @_AxelStein_ #YouCanDo #Biopic: http://t.co/TBADyq9gUN Hier ist der #Teaser: https://t.co/SovkXvArf7"
"74","@_Marco_Angel Wenn Du uns die betroffene Rufnummer per DM schickst, schauen wir uns den Fall gerne an."
"75","@_Marco_Angel Ja, schade. Ich weiß leider immer noch nicht um was es geht ;-)"
"76","Ganz schön gespenstisch. Wie gefällt Euch unser #Halloween-Kürbis? http://t.co/DkpS1Vlgov"
"77","Dünn, dünner, #Samsung: Das #GalaxyA5 &amp; #GalaxyA3 sind Ihre dünnsten Metall-Smartphones:Was meinst Du: Dünner=Besser? http://t.co/T35dDGGlJ1"
"78","Entdecke #digitale Schönheit: #simplifythatshit macht aus Deinen Bildern #Kunst: http://t.co/TmAm8VVvl3 http://t.co/TYNDDlWGKC"
"79","@_Marco_Angel Sorry, ich verstehe nicht ganz? Können wir dir weiterhelfen? ^DR"
"80","Kriegst Du nie genug von Stars, Klatsch &amp; Tratsch? Mit #o2More und @InTouchOnline hast Du alle Infos in der Tasche: http://t.co/BRlukzD2CN"
"81","Premiere von #Stichtag am Fr. in #München:Max hat seine Tickets vergeben,jetzt sind wir dran:RT&amp;gewinne 2x2 Tickets. https://t.co/1WQU3whqaq"
"82","@TommiZeng Das geht mit dem Aufbau weiterer Stationen einher."
"83","@TommiZeng Leider kann sich ein Termin auch mal verschieben. Die Planung für weitere Stationen steht in jedem Fall. ^CH"
"84","@TommiZeng Also eine ist noch für Nov. geplant, 2 weitere folgen im Frühjahr '15 ^DR"
"85","@TommiZeng Weitere Stationen folgen in Kürze. Dann klappt es auch in Leverkusen besser :) ^DR"
"86","@TommiZeng In Leverkusen direkt sollte LTE outdoor durchaus drin sein. Hattest du noch nie irgendwo LTE? ^DR"
"87","@TommiZeng Was genau steht denn in der E-Mail? ^AR"
"88","@TommiZeng zurzeit?"
"89","@TommiZeng Industriestraße in 51375 Leverkusen? Ich konnte in der Karte leider keinen Eintrag finden. Was für einen Tarif nutzt du denn ..."
"90","@TommiZeng Du meinst Monheim? In Bayern, oder Nordrhein Westfalen?"
"91","@TommiZeng Was für ein Handy nutzt Du denn und ist LTE Versorgung vorhanden? http://t.co/ng9KarsjMz"
"92","Schlafend die Welt verbessern: Mit #DreamOn spendest Du mit jedem #Snooze: http://t.co/ay8Pc6bNiN #KennstDuSchon http://t.co/tHS2LVovbm"
"93","@Mean_Machine_85 Sitzplätze können da gebucht werden, schau mal hier: http://t.co/HoLprQhnQS"
"94","Tune Dein Smartphone und hol Dir die Extraportion PS. Mit #o2More kannst Du die @Autozeitung jetzt gratis testen: http://t.co/BRlukzD2CN"
"95","Letzten Freitag war @jan_delay in der @o2WorldHamburg. Jetzt eine Frage für echte Kenner: Wer schneidert seine Lieblings-Anzüge?"
"96","So ticken deutsche 18- bis 30-Jährige #Millenials: http://t.co/VsArx8Cvzu Nutzt Du Dein #Smartphone genauso? http://t.co/9egSTt3dUv"
"97","Du willst so richtig in Form kommen? Hol Dir mit #o2More die @SHAPEgermany direkt auf Dein Smartphone: http://t.co/FxXFRinj2a"
"98","Für 65% der Deutschen gehört DSL zu den ersten Anschaffungen in der neuen Wohnung. #SchönesInternet Mehr #Facts hier: http://t.co/vmgZjKPGaW"
"99","@dwardoric Hast du bitte mal deine Kundennummer per DM?"
"100","@dwardoric Hast du den Router schon mal 10 Min. von Strom und TAE getrennt und dann neu gestartet?"
"101","@trinchen1405 Welchen Bestellstatus brauchst Du denn? ^JS"
"102","Das erfolgreichste YouTube-Video wurde über 2 Milliarden Mal geklickt. #SchönesInternet Mehr #FunFacts gibts hier: http://t.co/xQUJKprLL3"
"103","Exklusiv vom #Stichtag-Dreh.Social Biopic Reporter Max hat @_AxelStein_ begleitet. Stich-Schrei-Rettung. Alles dabei: http://t.co/lBCtnVeOYg"
"104","Geld, das auf Bäumen wächst? Der #Moneytree macht ein Märchen wahr. - Wie? Sieh selbst: http://t.co/L5FqKKMZjM"
"105","@Krreuzberger gern für dich. ^JS"
"106","@Krreuzberger Oh, verzeih mir bitte ;) Wir können uns deine Daten leider nicht ansehen. Aber die Kollegen von @o2business erledigen das ..."
"107","@Krreuzberger Bist du Business Kundin? ^JS"
"108","#instagram statt #latergram: Bald schickst Du Urlaubsgrüße direkt aus den Wolken: http://t.co/OplvkDZu5B http://t.co/BIvyZKW69T"
"109","@Krreuzberger Verständlich ;) Sag uns doch mal deine Auftragsnummer, vielleicht können wir ja schon was sehen (keine Garantie) ^JS"
"110","@schwinni2000 @chefkochde Das kommt auf die Balance an. Wir glauben @Runtastic kann dabei helfen den Hackbraten-Marathon auszugleichen ;)"
"111","Probiert man alle Hackbraten-Rezepte auf @chefkochde aus, ist man ü. 1 Jahr beschäftigt. #SchönesInternet #FunFacts: http://t.co/vmgZjKPGaW"
"112","@Lara_1R In der Regel schon. Ist ja nur für o2 Kunden :) ^DR"
"113","@Lara_1R Warum nicht? ;) ^DR"
"114","Auch im Oktober: #o2More &amp; @VIDEOBUSTER schenken Dir einen Film: http://t.co/f4lhruG1Rf http://t.co/Oj4tJluuaD"
"115","Leif-Eriksson war in Amerika, bevor es cool war. Ca. 500 Jahre vor Kolumbus. Was hast Du heute entdeckt? #hipster http://t.co/oEycMNKURg"
"116","@MGrotegut @o2WorldBerlin Du hast ja eine sprühende Fantasie :)"
"117","#LadyGaga rockt morgen die @o2WorldBerlin. Was wohl auf ihrer Wunschliste für die Backstage-Garderobe steht? http://t.co/7gnlFmRJxH"
"118","@AMDFreak78 Schade, dass es Dir nicht gefällt. Aber sowas ist ja immer Ansichtssache, nicht wahr? ^JS"
"119","#YouCanDo #SchönesInternet: Wahre Schönheit kommt vom Internet. Schönes Internet? Hier lang: http://t.co/NHkJc99PzE https://t.co/H2J1scXO9m"
"120","@haferbrei Wunderbar, das hört sich nach einem gelungenen Abend an :)"
"121","@Haferbrei :) Das freut uns sehr. Was war Dein Lieblings-Moment?"
"122","@kretzsche1138 Da hätten wir den Blue-All-in-L im Angebot. Zusammen mit dem iPhone liegen die Kosten bei 48,49 EUR ( 2. Jahr 52,49 EUR) ..."
"123","Im Ausland verliebt? Diese App passt: http://t.co/51j6qQbHVs #wordlens Zum Europäischen Tag der Sprache. http://t.co/7KSa73LAw9"
"124","@pianist93 Super :)"
"125","@kretzsche1138 Wir feuen uns schon auf dich. :-)"
"126","@kweenmarci Könnte helfen ;) #moneytree"
"127","@partynauseousr Ja :( halt die Augen offen, beim nächsten Mal hast Du vielleicht mehr Glück."
"128","@partynauseousr via DM."
"129","@gagaslaysuu Oh nein. Du warst leider nicht dabei :( aber halt die Augen auf. Beim nächsten Mal klappts vielleicht."
"130","@emxlio Herzlichen Glückwunsch. Du hast bei unserem Lady Gaga Gewinnspiel gewonnen. Bitte schicke uns eine DM."
"131","@loneliestboy Herzlichen Glückwunsch, Du hast bei unserem Lady Gaga Gewinnspiel gewonnen. Bitte schicke uns eine DM."
"132","@Pumuckel_ Herzlichen Glückwunsch. Du hast bei unserem Lady Gaga Gewinnspiel gewonnen. Bitte schicke uns eine DM."
"133","@Pianist93 Herzlichen Glückwunsch, du hast bei unserem Gewinnspiel zu Lady Gaga gewonnen. Bitte schicke uns eine DM."
"134","@gagaslaysuu Jetzt gleich. Einen Moment noch :)"
"135","@Alxxrt Richtig, das wichtigste Wort in Deinem Satz ist: ""Noch"". #MoneyTree"
"136","Die Suche geht los: Folge dem Hashtag #MoneyTree und bleibe hier http://t.co/Due4IDhHWY auf dem Laufenden. http://t.co/Nja2BHukA9"
"137","@FlappyBird92 Um welche Bestellung gehts denn genau? ^JS"
"138","@StolzeKroatin98 Über folgenden Link bekommst du eine ungefähre Übersicht: http://t.co/Tvhs5AZwEx"
"139","@amdfreak78 @walidmusik @o2de Kommt auf die Hose an ;)"
"140","@lanasfiance Ab dem 26.9. 14:00 :)"
"141","Klasse, wir freuen uns mit Dir :) RT: @WALIDMUSIK Mein #iPhone6Plus ist endlich angekommen! Gigantisch! #apple @o2de http://t.co/ViycyNXPtR"
"142","@tariqterry @o2WorldHamburg Daumen drücken :)"
"143","@penatarosetta Welches Problem genau? Die Adresse der Homezone möchtest Du jetzt gern korrigieren? ^JS"
"144","Retweete &amp; gewinne 5x2 Tickets für #LadyGaga in der @o2WorldHamburg. Teilnahmebed. unter: http://t.co/zgbrf16yjE http://t.co/jfIMDrTReV"
"145","Du willst die Extraportion #LennyKravitz? Hol Dir Dein #PlusEins Ticket für den 5.11. in der @o2WorldBerlin: http://t.co/cyv9SI0XhC #o2More"
"146","Das neue iPhone 6 ist da. Was wirst Du als Erstes damit anstellen? Zeig es uns mit #YouCanDo #iPhone. http://t.co/F5IssQPQFt"
"147","@Morpheus0970 Schick mir deine Auftragsnummer doch bitte per DM. ^AR"
"148","@Morpheus0970 Hier http://t.co/yJgFLB7A3E klappt es nicht? Was für eine Fehlermeldung erhältst du? ^AR"
"149","@PeterPan2210 Ende September wird voraussichtlich noch eine weitere LTE Station geschaltet. ^AR"
"150","Du liebst Filme? Mit Maxime, Watchever, Amazon und Sky gibt es neben Netflix 4 interessante Alternativen: http://t.co/0Om1gYCxho"
"151","Tschüß Hotel Mama. o2 #DSL für Junge Leute. Jetzt für 3 Monate ohne Grundgebühr. http://t.co/d2svI8vwJb http://t.co/soE63tITXa"
"152","Besuch bei den Schwiegereltern: Unangenehm. Oder lecker? http://t.co/ySqDwiJbQk #YouCanDo #SchönesInternet http://t.co/plKrXSYKcM"
"153","Mitmachen statt zuschauen: Tippe heute bei Schlag den Raab vor jeder Runde den Gewinner und gewinne selbst auf http://t.co/qNLXUFAJMt #SdR"
"154","@violise Welcher Tarif interessiert dich denn? ^SN"
"155","Bravo, Maze. Jetzt Ihr: Gewinnt auf http://t.co/5ocT7xB9Pb 5x2 Tickets für die Premiere in München. #YouCanDo #Biopic http://t.co/o8mVD02kuW"
"156","Kennst Du Deinen digitalen Fußabdruck? So machst Du Deinen Auftritt im Netz zu einer sicheren Sache. #o2Live-Store http://t.co/SzsVmbeMnF"
"157","@daniele_rizzo Gut seht Ihr aus :) #YouCanDo #Biopic"
"158","Komm in den #o2Live-Store, gewinne ein #LGG3 + #GWatch &amp; andere tolle Preise: http://t.co/7EA00IQNxY #IFA2014 #o2Live http://t.co/eGkLqvG04S"
"159","@samsheffer Erm, okay.Thanks for the info? ;)"
"160","@artaa996 Mag sein ;) Kennst du denn den ersten Social Biopic Film schon?: http://t.co/lShPoQIx7c"
"161","@artaa996 Warum nicht? :)"
"162","Tagge Deine Freunde als Reply &amp; wir bringen ihre filmreifen Erlebnisse auf die Leinwand: http://t.co/6LoSLX3LNX http://t.co/VmlPbmOtGm"
"163","#WoIstGerd morgen? Ab 11 Uhr geht es los auf: http://t.co/P4JP3DER2h Gerade ist unser Gartenzwerg in Marseille. http://t.co/7GtEmji4k7"
"164","@seppini Um was für Dokumente geht's denn? Gerne mit Rufnummer per DM an uns, dann prüfen wir das für dich. (DR)"
"165","@seppini Den gibt es :) Wo hakt's denn? (DR)"
"166","@benni_b weitere UMTS Station Ende Dezember in Planung."
"167","@benni_b Vielen Dank. In 60385 ist Ende Oktober eine weitere LTE Station geplant. In 60329 ist ebenfalls eine LTE Station und eine ..."
"168","@benni_b Anhand einer PLZ könnten wir prüfen, ob in der Region ein Ausbau geplant ist."
"169","@benni_b PLZ oder nur in bestimmten Regionen?"
"170","@benni_b Die Wartungsarbeiten liegen uns erst seit heute vor. Du bemerkst diese Einschränkungen schon seit Jahren? An unterschiedlichen ..."
"171","@benni_b In Frankfurt haben wir zurzeit einige Wartungsarbeiten. Diese kannst Du hier http://t.co/ZYcM4z9ceW einsehen."
"172","@benni_b An welchen Orten entdeckst Du das mobile Internet denn nicht?"
"173","@SS_DeutscheLand dennoch somit alles. ;-)."
"174","@SS_DeutscheLand mit dem Internet zu tun? VPN simuliert ja nun eher ein lokales Netzwerk. Entdecken kannst du ohne VPN im Internet ja ..."
"175","@SS_DeutscheLand Kannst du mit unseren Routern denn Telefonieren? Wenn ja, funktioniert die VoIP Verbindung ja. Was hat ein VPN Zugang ..."
"176","@SS_DeutscheLand Du kommst mit dem Router von uns überhaupt nicht in das Internet?"
"177","@bytebaby Hast du schon mal ein Ticket an die Netztechnik dazu aufnehmen lassen? Dazu einfach bei der Hotline melden."
"178","@Ghost23inside Ui, was ist denn passiert? Bei @o2de helfen wir gern. (JS)"
"179","@lindijones Hast du dazu schon mal ein Ticket erstellen lassen? So dass die Techniker prüfen können was los ist?"
"180","@lindijones Nicht schön :-( Wo bemerkst du denn Einschränkungen? Ist laut unserem Livecheck etwas bekannt? http://t.co/ZYcM4z9ceW"
"181","@WinnetouKowalsk Hast du denn schon einen Vertrag bei uns?"
"182","@MuellerMigel Hast du mal bitte deine Kundennummer dazu für uns per DM? (SR)"
"183","@MuellerMigel Wo genau läuft es denn nicht? Geht´s um DSL oder Mobilfunk? (SN)"
"184","@ab_nord Warum sollte ich dich läutern? Du hast den Dialog mit uns gesucht und dich über das Netz beschwert. Wenn ich dazu etwas sagen ..."
"185","@ab_nord Inwiefern prellen wir dich und unsere Kunden? Kannst du bitte eine Postleitzahl nennen, wo du keinen Empfang hast? (MK)"
"186","@ab_nord Wo hast du denn kein Netz? Hast du dir die Netzversorgung für diese Adresse schon hier angesehen? http://t.co/jPldeIkMFn (MK)"
"187","@ab_nord Was gibt es nur in Ballungszentren?"
"188","@weichkai Wann hast du den Code bekommen? (MK)"
"189","@weichkai Hast du versucht ihn unter http://t.co/gACvFO0T2Z einzulösen? (DR)"
"190","Wenn Deine Freunde nicht an Ihr Handy gehen ;) sehr passend zur #WM #YouCanDo #KennstDuSchon http://t.co/p5iuwcKYwt http://t.co/dY1rQONI3U"
"191","#WM gucken–egal wo Du bist. Jetzt mit o2 More eine Woche gratis HD-TV auf Deinem Handy testen: http://t.co/qjlfQgVWHG http://t.co/1QxASyzVY5"
"192","#YouCanDo #Biopic Es ist Stephanie‘s Story, es ist Euer Film. Für wen habt Ihr gestimmt? http://t.co/L8BzFmC0bV http://t.co/oLPVrASLkG"
"193","Letzte Chance: Jetzt für Deinen Favoriten stimmen &amp; #HTCOneM8 gewinnen auf http://t.co/s9ViMPbhUR #YouCanDo #Biopic http://t.co/w5sggi69vj"
"194","#YouCanDo #Biopic Bis Montag: Deine Stimme – Jeden Tag. Erhöhe Deine Chance auf ein #HTCOneM8 http://t.co/LCrl3KrK9U https://t.co/8C6F5kZpjh"
"195","@muratberna6403 Hier http://t.co/OShIlTTmnI findest du die Tarife, hier http://t.co/4oXpzo8MFz die Kombi Angebote. LG (MZ)"
"196","@Rudbl99 Das kann ich dir leider nicht sagen, aber die Kollegen von @o2de helfen dir sicher gerne. LG"
"197","@muratberna6403 Schau mal hier http://t.co/4oXpzo8MFz (MZ)"
"198","@landei00 Oje, das ist natürlich schade! Dann bleibt es dieses Jahr wohl noch beim fleißigen Mitfiebern statt -tippen :)"
"199","@AMDFreak78 Tut mir leid. Vielleicht beim nächsten Mal! :)"
"200","1245 Bilder &amp;192 #LTEselfies.10 Gewinner. Für alle anderen: 1x die neueste Single v. Pharrell Williams. #YouCanDo http://t.co/QXXrxLP8hy"
"201","Mehr als Baden? Erzähl uns Deine Story &amp; wir bringen Dich groß raus. Ab dem 28.4 auf http://t.co/9IbEtX8tP4 #YouCanDo http://t.co/aGzWKcXTL5"
"202","@La_Sebo Danke, wir werden es ihnen ausrichten :-)"
"203","@La_Sebo Die Zeichner sagen, es sind weder Finger noch Augen. Eher wie stundenlang hochkonzentriert mit 180 auf der Autobahn fahren ;-)"
"204","So fühlt sich LTE an. Unsere superschnellen Zeichner live bei der Arbeit: http://t.co/0AdSUYcGyA #YouCanDo #LTEselfie http://t.co/n67zG9B8Q1"
"205","@Ralph_Danie Ich drücke dir die Daumen. (MK)"
"206","@rafael_am_main Uns ist kein Fehler bekannt. Welche Fehlermeldung bekommst du? (MK)"
"207","Poste Dein #Selfie auf http://t.co/0AdSUYcGyA lass Dich verwandeln &amp; gewinne 1 #LTE #Smartphone #YouCanDo #LTEselfie http://t.co/gbRyvQPUoz"
"208","In 2 Tagen stehen die schnellsten Zeichner Deutschlands für Dich bereit: http://t.co/0AdSUYcGyA #YouCanDo #LTEselfie http://t.co/55Ci7eCkX0"
"209","@AssNeun Ja, anscheinend gibt es Probleme mit der Kinotag-Seite. Wir haben den Fehler bereits an die zuständigen Kollegen weitergeleitet."
"210","#JustinTimberlake kommt mit #The20/20ExperienceWorldTour nach Deutschland. Sicher Dir jetzt Tickets: http://t.co/zgzsTl9coM"
"211","#Donnerstag = #o2Kinotag
#Heute: #thedarkkingdom #ChrisHemsworth #NataliePortman
http://t.co/wXcm8yxszh #Marvel"
"212","Süßes oder Saures - Verrate uns Deine Top-Movies für Halloween!"
"213","Die Tourbusse sind da - es ist endlich soweit: #BrunoMars spielt in der @o2WorldHamburg! Wer ist mit dabei? http://t.co/d3hnKLwsNe"
"214","Gewinne exklusive Suitentickets für das Synthie-Pop-Highlight des Jahres in der @o2WorldBerlin: http://t.co/7Ix2WU64Li"
"215","Byebye Berlin, das war ein unvergesslicher Abend. #ChrisHemsworth #thedarkkingdom #o2Kinotag #Thor #livefromberlin http://t.co/4oLrLABen0"
"216","Du bist Fan von #JustinTimberlake? Dann sei die nächsten Tage besonders aufmerksam. http://t.co/uYi1R3JTpt"
"217","Welcher #Film aus den #Kinocharts hat Dich begeistert? 
http://t.co/wXcm8yxszh"
"218","Der #Kassettenrekorder wird 50 Jahre alt. Wer weiß noch, was eine #Kassette mit einem Stift zu tun hat? http://t.co/oLowFQ1RY9"
"219","#Donnerstag = #o2Kinotag
Heute: #RIPD. 3D. Eine #Actionkomödie mit #JeffBridges und #RyanReynolds 
http://t.co/wXcm8yxszh"
"220","#Hochspannung bis zur letzten Sekunde mit #Argo: Sicher' Dir jetzt Deinen #Gutschein für die Online-Videothek: http://t.co/ItiQdGgiqY"
