"","x"
"22","@FrauMimimi Das freut uns sehr. Viel Spaß mit deinen Einkäufen und ein schönes Wochenende, Viele Grüße, dein REWE Team."
"23","@so_phies Dann lass dir die Pfefferminz-Dinkelwaffeln mal gut schmecken. Viele Grüße und später ein schönes Wochenende, dein REWE Team."
"24","@FrauMimimi Hat mit deiner Lieferung alles geklappt und konntest du frühstücken? Wenn etwas nicht passt, kannst du dich gerne bei uns melden"
"25","@Goetterkind Wenn du uns den Markt,den Zeitpunkt deines Einkaufs &amp; deine E-Mail Adresse nennst,leiten wir das sehr gerne zur Prüfung weiter."
"26","@PandaMymla bitte schicke uns noch eine DM mit deiner E-Mail. Unser regionaler Kundendienst meldet sich dann direkt bei dir."
"27","@dr_teivos wenn du uns deine plz mitteilst, nehmen wir deinen Expansionswunsch gerne auf."
"28","@StorkPatrick Die REWE TO Go Märkte findest du zurzeit in Dortmund, Düsseldorf, Essen, Hagen, Köln (2x) &amp; Leipzig.Dir einen schönen Freitag."
"29","@CritizenCane Du kannst uns auf jeden Fall trauen! Wir freuen uns auf deine Bestellung und wünschen dir einen schönen Freitag. Viele Grüße."
"30","@TorstenH_1984 leider ist das Bestellen über unsere App aktuell noch nicht möglich. Wir arbeiten aber daran dies in Kürze anbieten zu können"
"31","@marfis75 Besten Dank für den Hinweis, unsere Technik arbeitet mit Hochdruck an einer Lösung. Viele Grüße, dein REWE Team."
"32","@Direktbanking bitte schicke uns doch mal eine DM mit deinen Kontaktdaten, wir geben diese dann gerne weiter. VG"
"33","#Zartbitter vs. #Vollmilch - was ist euer Favorit? #REWE #Schokolade #tgif http://t.co/Ypma0FXBvb"
"34","@clslcsl wir hoffen, du hast deine Salami mittlerweile bekommen. Bitte melde dich wenn nicht VG"
"35","@PandaMymla Wo möchtest du diesen Artikel denn gerne kaufen? Dann prüfen wir das gerne. VG"
"36","Snacks leicht gemacht: Bei #REWE to go findet ihr alles für den schnellen #Snack &amp; die #Mittagspause. Schon probiert? http://t.co/AQsz4U8jz1"
"37","@StorkPatrick Dann hoffen wir, dass es dir in deinem REWE um die Ecke auch so gut gefällt. Viele Grüße und einen schönen Tag, dein REWE Team"
"38","@bigjens Bitte sende uns doch zur Überprüfung den Markt,den Zeitpunkt deines Einkaufs sowie deine E-Mail Adresse,wir melden uns dann bei dir"
"39","@StorkPatrick Es freut uns dass du deinen Lieblings-REWE gefunden hast. Viel Spaß bei deinen nächsten Einkäufen und moinmoin nach Hamburg."
"40","@lipstickbeast Wir haben dein PLZ-Gebiet als Expansionswunsch erfasst. Wir hoffen, euch unseren Lieferservice bald anbieten zu können :). VG"
"41","@Proletengrill Klingt beides sehr gut - vielleicht erst ReWe und dann zu REWE? ;) VG und einen schönen Tag, dein REWE Team"
"42","@DietmarGiese1 Mahlzeit aus Köln nach Düsseldorf. Dir einen entspannten ""kleinen Freitag"" und viele Grüße, dein REWE Team."
"43","@lipstickbeast Magst du uns per DM einmal deine PLZ schicken? Dann prüfen wir das gerne für dich. VG"
"44","@xoryps Das tut uns sehr leid. Wenn du uns einmal per DM deine Bestellnummer schicken magst, prüfen wir das gerne für dich. VG"
"45","@HaMaCor Vielen Dank für deine Anregung. Es wäre schön, wenn du uns zur Weiterleitung einmal den Markt und deine E-Mail per DM mitteilst. VG"
"46","@sucinum_vertex Vielen Dank :). Wenn du uns deine PLZ per DM schickst, prüfen wir gern, ob wir dir unseren Lieferservice anbieten können. VG"
"47","#Bio Produkte im #REWE Online #Shop. #Lieferung bis an die Haustür. Zum Bio-Sortiment: http://t.co/QRVVtEfOvs http://t.co/1vtwLwepxO"
"48","@Gigg44 generell freigeschaltet."
"49","@Gigg44 uns nicht bekannt. Kassenterminals in den REWE Märkten sind grundsätzlich NFC-fähig, die Funktionalität ist jedoch nicht ..."
"50","@Gigg44 dieser Applikation bezahlt werden kann. Das bei Youtube eingestellte Video können wir nicht verifizieren. Die Urheberschaft ist ..."
"51","@Gigg44 REWE unterstützt nicht die Mobile-Payment-Funktion über ""Apple Pay"". Das heißt, dass in unseren REWE-Supermärkten nicht mit ..."
"52","@thorbenheins ja ist es. Leider können wir dir aber jetzt noch keinen konkreten Termin für die Einführung nennen."
"53","@thorbenheins vielen Dank für deine Anfrage. Leider wird die gewünschte Schnittstelle aktuell nicht angeboten. VG"
"54","@foodpunk_marina bitte schicke uns eine DM mit deiner E-Mail Adresse und deinem Markt. Wir überprüfen das dann gerne für dich."
"55","@wuestenigel Sehr gerne, dafür sind wir da! Falls noch etwas sein sollte, kannst du dich gerne melden. Dir einen schönen Abend und vG."
"56","@domitz wir haben dein Anliegen an unsere Kollegen weitergeleitet. Unsere Kollegen werden sich dann mit dir in Verbindung setzen."
"57","@wuestenigel genauen Markt sowie deine E-Mail, damit sich unser Kundenservice direkt bei dir melden kann. Vielen Dank für deine Mühe."
"58","@wuestenigel Das tut uns sehr leid und sollte so nicht vorkommen. Dies ist nicht unser Anspruch. Bitte sende uns zur Überprüfung den ..."
"59","@thrownout Bitte sende uns doch zur Prüfung per DM die Bestellnummer &amp; die E-Mail Adresse mit der du bei uns registriert bist.vg"
"60","Karriere bei #REWE - Top Arbeitgeber 2015. Hier mehr erfahren: http://t.co/cJNA0rLWmk http://t.co/EUMk2pf1VP"
"61","@Lucif0r lieferbar waren. Diese sind jedoch generell verfügbar. Wir hoffen, dich erneut in unserem Onlineshop begrüßen zu dürfen. VG"
"62","@Lucif0r Gesüßte Mandelmilch können wir dir bedauerlicherweise nicht anbieten. Tut uns leid, dass die Nuggets in deinem Fall nicht ..."
"63","@harry_c4harry Das tut uns leid. Hast du vorher deine Postleitzahl angegeben bzw. einen Markt ausgewählt? Dann dürfte es funktionieren. VG"
"64","@Jadzia_Dax Gerne. Das ist kein Problem. Dann benötigen wir nur noch den Markt, um den es sich handelt. LG"
"65","Jetzt #gewinnen! Dazu #REWE -Profil folgen, Beitrag retweeten &amp; Frage vervollständigen. TNB: http://t.co/BE4j9YTFlK http://t.co/ir1Kbvpm6a"
"66","@sucinum_vertex Magst du uns einmal deine E-Mail und den entsprechenden Markt per DM mitteilen? Wir prüfen das gerne für dich. LG"
"67","@JupiterKallisto Super! Wenn nochmal sowas auffällt, kannst du uns gerne kontaktieren. Grüezi in die Schweiz und bis bald bei REWE;o)"
"68","@domitz Bitte sende uns doch zur Prüfung den Markt, Zeitpunkt des Einkaufs sowie zur Kontaktaufnahme durch unseren Service deine E-Mail,vG."
"69","@h3rzrausch3n Bitte nenne uns per DM den Zeitpunkt deines Einkaufs sowie zur Kontaktaufnahme deine E-Mail Adresse. Wir gehen dem nach."
"70","@l8mal Einen Bügelservice können wir dir leider nicht anbieten, die entsprechende Bügelhilfe aber schon: http://t.co/79mEQe1Tf3 VG"
"71","@JupiterKallisto Dieses ""Gewinnspiel"" ist nicht von REWE und auf keinen Fall vertrauenswürdig, Finger weg!!! Besten Dank für deinen Hinweis!"
"72","@PiratWeber Das tut uns leid. Bitte sende und per DM deine Bestellnummer und deine E-Mail Adresse. Wir prüfen das und melden uns bei dir.vg"
"73","@mustigt2 Vielen Dank für dein Interesse :). Dann bewirb dich am besten gleich unter: http://t.co/GjxEpNSJp8. VG, dein REWE Team"
"74","@MarkusHermsen Vielen Dank für dein Lob. Das freut uns sehr! LG"
"75","@Gloecknerson Damit du zukünftig nicht ""atemlos"" durch den Markt laufen musst, werden wir an einer vorherigen Durchsage arbeiten ;)"
"76","@knukkohed Vielen Dank für deine Anfrage. Leider gilt das Angebot nur für den Kauf einer 25€ Karte. VG"
"77","@sarfeld geben wir das umgehend weiter. VG"
"78","@sarfeld Das tut uns sehr leid. Wenn du uns den Markt, die Uhrzeit deines Einkaufs sowie deine E-Mail Adresse per DM schicken magst, ..."
"79","@Jadzia_Dax Adresse schicken magst, wird sich unser regionale Kundenservice direkt mit dir in Verbindung setzen. VG"
"80","@Jadzia_Dax Das tut uns leid. Wir würden das trotzdem gerne an die entsprechende Stelle weiterleiten. Wenn du uns per DM deine E-Mail ..."
"81","@MrKingfrog Das tut uns aufrichtig leid. Magst du uns per DM den Markt und deine E-Mail mitteilen? Wir geben das entsprechend weiter. VG"
"82","@gemuesegriller Kontaktformular auf http://t.co/nRSiVz0iWy direkt an Payback zu wenden. Viele Grüße, dein REWE Team"
"83","@gemuesegriller Das tut uns sehr leid. Wir würden dich bitten, dich in diesem Fall telefonisch unter 089 / 540 20 80 20 oder über das ..."
"84","Der Countdown läuft! Eure Chance auf die exklusive REWE Lieferservice #WOKWM Wildcard! http://t.co/VL20ui8K5i http://t.co/z7LYmCC2nE"
"85","#Frühjahrsputz leicht gemacht. Alles was ihr dafür braucht gibt's hier: http://t.co/Ixm9QiEYp9 #REWE #Lieferservice http://t.co/tZJqoaQXN3"
"86","@irocktheweb Viel Spaß mit deinem Einkauf und einen schönen Tag. Viele Grüße, dein REWE Team."
"87","@amtzweinull Viel Spaß beim Online Shoppen und mit deiner Lieferung heute Abend. Viele Grüße und einen schönen Tag, dein REWE Team."
"88","@MarkusHermsen Es freut uns, dass dir unser Lieferservice gefällt.Viel Spaß weiterhin beim Käse shoppen und einen spannenden Tag. VG"
"89","@krafit Wir melden uns dann per E-Mail bei dir, da wir zur Prüfung noch ein paar Angaben von dir benötigen.Viele Grüße,dein REWE Team."
"90","Das perfekte #Rezept zur #Fastenzeit. Couscous-Salat mit #Falafel. Zum Rezept: http://t.co/i4f7Pindr5 #REWE http://t.co/MYqSIfQHm0"
"91","@krafit Gerne prüfen wir deinen Vorgang, warum du deinen Gutschein nicht einlösen konntest. Bitte sende uns doch deine E-Mail per DM. VG"
"92","@nostrx Es freut uns sehr, dass dir unser Lieferservice gefällt. Für wiederkehrende Bestellungen kannst du eine Einkaufsliste anlegen.vg"
"93","Gesund punkten! Mit dem eCoupon von PAYBACK gibt's jetzt 15fach Punkte auf #REWE #Bio Artikel. http://t.co/LHGCKGfHsG http://t.co/mS0UgxBW7T"
"94","@Lucif0r lieferbar waren. Das geben wir so weiter und fragen nochmals nach. LG"
"95","@Lucif0r Unter dem Namen ""Alsan-S Reform-Margarine 250 g"" sollte der Artikel zu finden sein. Tut uns sehr leid, dass die Nuggets nicht ..."
"96","@Lucif0r VG"
"97","@View85 überzeugen? Viele Grüße und trotzdem einen schönen Tag, dein REWE Team."
"98","@View85 Es tut uns sehr leid,dass die Bestellung storniert wurde.Können wir noch irgendetwas für dich tun um dich von unserem Service zu ..."
"99","@Markus4You Wir würden dies sehr gerne prüfen.Bitte nenne uns doch den Markt sowie den Zeitpunkt deines Einkaufs,sowie deine E-Mail Adresse."
"100","@hedoniker Das tut uns sehr leid.Gerne kannst du uns per DM deine Bestellnummer &amp; E-Mail Adresse mitteilen, damit wir dies prüfen können."
"101","@mykke_ Das freut uns. Wir hoffen, dass alles gut geklappt hat!? :) Bei Fragen kannst du dich gerne an uns wenden. VG, dein REWE Team"
"102","@schrdr Upps, hoffentlich hast du deinen Salat noch bekommen;o) Viele Grüße und einen schönen Tag, dein REWE Team."
"103","@Mitschreiberin Sehr gerne. Viel Spaß beim Einkaufen wünscht dein REWE Team."
"104","@Mitschreiberin Der genannte REWE Markt hat wie gewohnt bis 20 Uhr geöffnet. VG und einen schönen Tag, dein REWE Team"
"105","Letzte Chance: Nur noch bis Samstag Punkte einlösen und WMF Küchenartikel erhalten. Mehr dazu: http://t.co/FmSQfhUpwU http://t.co/tag21uQ4BO"
"106","@FloRyan23 Das tut uns sehr leid. Bitte sende uns doch eine DM, wir geben diesen Vorgang dann an unseren Kundenservice weiter. VG"
"107","@schuehh Dir auch einen schönen Karnevalsdienstag und eine schöne Woche von deinem REWE Team."
"108","@Mitschreiberin Dies kann regional sehr unterschiedlich sein. Wenn du uns den Markt nennst fragen wir gerne einmal nach. VG dein REWE Team."
"109","@pmueller99 Nimms nicht persönlich;o) Eigentlich sind wir ganz lieb und freuen uns über unsere On- und offline Kunden.Dir einen schönen Tag."
"110","@droeder72 Wir sind eben schneller als Marty McFly und Dr. Emmett Brown erlauben;o) Viel Spaß mit deinen Einkäufen und einen schönen Tag!"
"111","@loligurolove Mit etwas Glück wurden diese gefunden und abgegeben. Am Besten einmal im Markt nachfragen. Dir einen schönen Tag."
"112","Tolles #Gewinnspiel zum Thema #glutenfreie #Waffeln mit Bloggerin Jana! Hier mitmachen &amp; gewinnen: http://t.co/jejwxPkE6b #REWEfreivon #REWE"
"113","@kmnd lass dich nicht durch den äußeren Schein täuschen ;) Vg"
"114","@timoappenzeller schön, dass dir unsere musikalische Untermalung zusagt. VG"
"115","Urlaub zum Löffeln: Tomaten-Kokos-Suppe für winterliches Karibik-Feeling! http://t.co/xHAxPz6K84 #REWE #Rezept http://t.co/Wl0pHfvv2v"
"116","@wousel bitte entschuldige das Missverständnis, selbstverständlich war der Kraftstoffverbrauch gemeint."
"117","@View85 bitte sende uns eine DM mit deiner Bestellnr. Unser Kundenservice meldet sich dann bei dir."
"118","@Jadzia_Dax Wenn du uns den genauen Markt nennst leiten wir dein konkretes Anliegen sehr gerne weiter. Welche Artikel vermisst du?VG"
"119","@StorkPatrick Klasse, dass dir unser Lieferservice so gut gefällt. Noch einen schönen Tag und bis zur nächsten http://t.co/UjTCZrj3D3"
"120","@Brabbelmann Dann lass es dir mal gut schmecken. Dir noch einen sonnigen Tag und viele Grüße von deinem REWE Team."
"121","@offpulse Dann lasst es euch mal schmecken und viel Spaß beim relaxen und später auch wieder beim Feiern? Euch einen schönen Tag."
"122","Für den Tag danach - #Katerfrühstück für den #Feinschmecker! #REWE http://t.co/FGiTtHZiwd"
"123","@schuehh Da müsstest du direkt in deinem Markt nachfragen, da wir nicht alle regionalen Angebote bundesweit kennen. Dir einen schönen Tag."
"124","@jhisch Vielen Dank für deine Nachricht. Wir haben dein Anliegen trotz allem weitergeleitet. Unser Kundenservice wird sich bei dir melden.Lg"
"125","@RalphGoldmann Bitte entschuldige. Jetzt geht's :)"
"126","@Jadzia_Dax Magst du uns per DM einmal den Markt und deine E-Mail schicken? Dann leiten wir das gerne weiter ;). VG"
"127","@julianheck Bitte entschuldige, wir geben das ganze nochmals weiter! VG"
"128","@RalphGoldmann Wenn du uns den Markt sowie deine E-Mail Adresse per PN nennst leiten wir deine Anfrage sehr gerne http://t.co/YConlx38EP"
"129","@MissAntonov Das wünschen wir dir auch und viel Spaß am Wochenende!"
"130","@gerdgerdgerdger Wir haben dein Anliegen weitergeleitet. Der regionale Kundenservice meldet sich dann bei dir. Viele Grüße, dein REWE Team."
"131","@MissAntonov Wir haben deinen Vorgang an unsere Qualitätssicherung weitergeleitet welche sich direkt bei dir melden wird. VG."
"132","Heute ist der romantischste Tag des Jahres! Wie zeigt ihr euren Liebsten, wie gern ihr sie habt? #Valentinstag #REWE http://t.co/U91qJyQLDM"
"133","@mellubo1 Leider ist für uns nicht ganz eindeutig welche Werbung du genau meinst, kannst du uns dies mitteilen? Vielen Dank, dein REWE Team."
"134","@ab_nord Wenn du uns dein konkretes Anliegen mitteilst helfen wir dir sehr gerne. Viele Grüße, dein REWE Team."
"135","@IceCrusherChris Gerne helfen wir dir weiter, wenn du uns den genauen Grund deines Posts mitteilst, gerne auch per DM. VG, dein REWE Team."
"136","@FollowCoo Sehr gerne, wir tun alles in unserer Macht steht um Kundenwünsche zu erfüllen..Und manchmal auch ein bisschen mehr) Viel Spaß."
"137","@wousel Ingesamt ist es benzinsparender, als wenn jeder die Wege mit dem Auto macht. Deinen Hinweis leiten wir gerne weiter. Danke und VG"
"138","@Ursel_aus_Mais Wir hoffen, dass die Entscheidung nicht allzu schwerfiel ;) VG und ein schönes Wochenende, dein REWE Team"
"139","@djpd Sehr gerne :). Viele Grüße und ein schönes Wochenende, dein REWE Team"
"140","@Kerschtindel Das tut uns sehr leid. Magst du uns per DM einmal deine PLZ schicken? VG und eine gute Besserung!"
"141","@sebastianwaters Das tut uns sehr leid. Magst du uns einmal mitteilen, an welcher Stelle es genau scheitert? VG"
"142","@MissAntonov Das tut uns aufrichtig leid! Bitte teile uns per DM einmal den Markt und deine E-Mail mit. Wir leiten das umgehend weiter. VG"
"143","@jhisch Magst du uns den zuständigen Markt und deine E-Mail per DM schicken? Wir würden das gerne weiterleiten. LG"
"144","@CritizenCane Tut uns leid, dass du mit dem Mindestbestellwert nicht zufrieden bist. Wir leiten dein Feedback gerne weiter. LG"
"145","@gridsquare Vielen Dank für deine Kritik. Wir leiten diese an die entsprechende Stelle weiter. VG"
"146","@gerdgerdgerdger Die Info mit den Werbeaufklebern und, wenn du magst, deine E-Mail, damit sich unsere Kollegen bei dir melden können. LG"
"147","@versustommy Magst du uns per DM dein Anliegen einmal genauer erläutern? Viele Grüße, dein REWE Team"
"148","@Nis_Thiemeier Nein, das würdest du nicht. Wir geben es nur zur Prüfung an die Qualitätssicherung weiter. VG"
"149","Morgen ist #Valentinstag! Über unsere #Fairtrade Rosen freuen sich dein Schatz &amp; die Umwelt! http://t.co/RwIqmoxvOL http://t.co/CSxrTHpqk0"
"150","@FrauFee1964 Das tut uns sehr leid. Wenn du uns deine Bestellnr. per DM schickst, prüfen wir das gerne für dich. VG"
"151","@wousel So kann man Benzinkosten und auch Zeit sparen. Gerne kannst du dich mit weiteren Anliegen bei uns melden. VG &amp; einen schönen Tag."
"152","@wousel Die ersten 3 sowie Bestellungen über 100€ sind ohne Liefergebüren, ansonsten liegen die Gebühren zwischen 2,90€-4,90€ je nach Slot."
"153","@M1er Sehr gerne :)"
"154","#REWE wünscht allen begeisterten Karnevalisten eine bunte &amp; vor allem fröhliche Karnevalszeit! #Karneval #Alaaf http://t.co/KZgzK6jqIv"
"155","@M1er support@rewe-fotoservice.de oder 0221 669947 2801. Viele Grüße und einen schönen Tag, dein REWE Team."
"156","@M1er Bitte wende dich doch mit deiner Frage direkt an die Kolleginnen und Kollegen unseres Fotoservices. Diese erreichst du unter: ..."
"157","@Vanillekathy bitte schicke uns eine DM mit deiner E-Mail und dem genauen Markt. Wir leiten das dann gerne weiter."
"158","@urkel4 Vielen Dank. Wir haben deine Anfrage weitergeleitet und melden uns gerne bei dir, sobald wir eine Rückmeldung erhalten haben. VG"
"159","@dabukk Da bekommt niemand Ärger, sind ja für jeden Hinweis dankbar. Wollen ja unseren Kunden immer eine gute Auswahl anbieten. VG"
"160","@gerdgerdgerdger Vielen Dank für die Info. Magst du uns einmal deine E-Mail Adresse per DM schicken? Dann leiten wir das gerne weiter. VG"
"161","@FollowCoo Wenn du uns deine E-Mail Adresse per DM mitteilst, leiten wir das gerne weiter und fragen mal nach. Viele Grüße, dein REWE Team"
"162","@dabukk Wenn du uns den Markt und den Zeitpunkt deines Einkaufs nennst, leiten wir dies gerne einmal weiter. Viele Grüße, dein REWE Team."
"163","@LiliCosic Sorry, okay :) you're welcome!"
"164","@irocktheweb Wir haben deine DM bekommen und weitergeleitet. Wir sind dran!! Einen sonnigen Tag und viele Grüße, dein REWE Team."
"165","@LiliCosic Maybe yes ;) where did you get the advocados? Could you please send us your e-mail address? We'd like to check this for you."
"166","@1tanja0 In der Wusseldornstraße 3 in 74918 Angelbachtal gibt es einen REWE Markt ;)"
"167","@irocktheweb Das tut uns sehr leid. Magst du uns nochmal deine E-Mail Adresse per DM schicken? Dann geben wir das umgehend weiter. VG"
"168","@deggytown Bisher gibt es nur Guavennektar bei uns, aber wir werden mal schauen was sich da machen lässt ;)"
"169","@1tanja0 Das freut uns. Wir wünschen dir viel Spaß beim Einlösen. Viele Grüße, dein REWE Team"
"170","Endspurt: Mit #REWE und #MWF nur noch bis zum 21.02. Punkte einlösen. http://t.co/zVmSH33pHV http://t.co/fOO3bFl6N1"
"171","@T_Inet REWE testet laufend neue Technologien. Über http://t.co/1BGxWZhuVr oder http://t.co/M1DoyIZc4Y bist du immer bestens informiert."
"172","@deggytown In welchem Markt oder in welcher Region würdest du diese denn gerne vorfinden? Dann prüfen wir das gerne für dich ;) LG"
"173","@nurdersven Viel Spaß bei deinem Einkauf und einen schönen Tag #WOKWM2015 gibt's ja auch im TV @pro7"
"174","@BlickAufFeind Gerne fragen wir einmal nach wenn du verrätst was du genau meinst? Viele Grüße und einen schönen Tag, dein REWE Team."
"175","@Sinneswandlerin Der Kundenservice hat sich bereits per Mail mit dir in Verbindung gesetzt. Viele Grüße, dein REWE Team"
"176","Werde Teil des REWE Lieferservice Teams bei der #WOKWM2015! Ergreife die Chance deines Lebens und bewirb dich jetzt!
https://t.co/zFG0tngZTj"
"177","Die Chance deines Lebens! im REWE Lieferservice Team zur @tvtotal #WOKWM2015! jetzt bewerben: http://t.co/fmCvHH2tKF http://t.co/PbtAboLe4G"
"178","@e2b Vielen Dank für dein Lob. Wir freuen uns, dass dir unser Post gefällt :). Viele Grüße, dein REWE Team"
"179","@Jedi_Knight_Jo Gerne."
"180","@MFeiling Vielen Dank. Wir haben deine Anfrage weitergeleitet und unser regionale Kundenservice wird sich mit dir in Verbindung setzen. VG"
"181","@Lucif0r Vielen Dank. Wir haben dein Anliegen entsprechend weitergeleitet und melden uns, sobald wir eine Rückmeldung erhalten haben. VG"
"182","@Jedi_Knight_Jo Vielen Dank, das haben wir so weitergeleitet. VG und einen schönen Tag, dein REWE Team"
"183","@AbsrtkKadn Wir freuen uns sehr, dass dir unsere Werbung gefällt. Viele Grüße und einen schönen Tag, dein REWE Team."
"184","@fletcher Vielen Dank für dein Lob. Was gefällt dir denn besonders? Dir einen schönen Tag, viele Grüße bis zum nächsten Gedöns;o)"
"185","@biesdorfer83 Wir freuen uns, dass dir unsere Werbung gefällt. Viele Grüße und einen schönen Tag, dein REWE Team."
"186","@urkel4 Wenn du uns den entsprechenden Markt und deine E-Mail per DM zukommen lässt, leiten wir das gerne weiter. Viele Grüße!"
"187","@MFeiling Jetzt benötigen wir nur noch deine E-Mail Adresse."
"188","@Lucif0r Wenn du uns einmal deine PLZ zukommen lässt, können wir nachfragen, ob die Produkte im entsprechenden Liefermarkt verfügbar sind."
"189","@Lucif0r Können wir dir dabei irgendwie helfen?"
"190","@VonJud Bei uns gilt ein 6er Träger als Kiste und davon kannst du leider nur maximal 7 bestellen. Wir bitten um dein Verständnis."
"191","@schneidr_de Seltsam. Aber freut uns, dass es nun klappt."
"192","Erfahren was #Weltmeister essen, um fit zu bleiben - mit dem #REWE #DFB Kochtraining. http://t.co/JWVO3hp8qy https://t.co/v5i70Qb5wd"
"193","@Lucif0r Um welche Produkte geht es denn? Vielleicht können wir mal nachfragen."
"194","@schneidr_de Wir kommen hier zur Gestaltung des Buchs. Vielleicht mal einen anderen Browser verwenden?"
"195","@BenjiWilliamson We are very sorry for that. Please send us via dm the responsible market and your e-mail address. Thank you, your REWE team"
"196","@der_aufreger Wir leiten das gerne weiter. Viele Grüße!"
"197","@herr_vader Vielen Dank für dein Lob, das freut uns sehr! :) Viel Spaß mit deinem Einkauf und einen schönen Tag, dein REWE Team"
"198","#Gratis Fotoleinwand 0,- EUR statt 24,99: http://t.co/LJHs8Fd6eM #Valentinstag http://t.co/O8252SU4VG"
"199","Baum gießen und gewinnen. Das #Gewinnspiel von #REWE #Bio läuft. Alle Infos hier: http://t.co/MPRIfYcdvl http://t.co/LnwaxTQ0dw"
"200","@Gwenhwyfar10 bitte sende uns eine DM mit dem genauen Markt und deiner E-Mail. Wir leiten dein Anliegen dann weiter."
"201","@mierzwa Hallo, schick uns doch bitte mal deine e-mail per dm. Wir überprüfen das dann für dich."
"202","Italienische Küche für die gesamte Familie. Unser Tipp: Tortelloni-Gratin. http://t.co/LCvTPNxnOt #REWE #Rezept http://t.co/NizRCDx3fP"
"203","@flueke Das können wir dir leider nicht sagen."
"204","@flueke Wir wollten nur mitteilen, dass die entsprechende Abteilung bereits darüber in Kenntnis gesetzt wurde."
"205","@mobilef0rensics Wir wissen hierzu bereits bescheid und die zuständige Abteilung kümmert sich darum. Trotzdem danke für die Info!"
"206","@begicarmin wir haben das ganze direkt weitergeleitet. Viele Grüße!"
"207","REWE goes Instagram! Spaß &amp; Inspiration zum Thema ""Essen &amp; Trinken"" gibt's hier: http://t.co/UHbC9kFwFS Jetzt folgen! http://t.co/dUYEWnAi8O"
"208","@rafael_am_main Sollte jetzt klappen."
"209","@rafael_am_main Wenn du uns per DM einmal Markt und deine E-Mail zukommen lässt, leiten wir das gerne einmal weiter. Viele Grüße!"
"210","@iKasch Es freut uns sehr, dass du mit unserem Service zufrieden warst. Viel Spaß mit deinen Artikeln und bis zu deinem nächsten Einkauf,VG"
"211","@trainernrone @Calmund Calli hat eben Geschmack und weiß was gut ist;o) Viele Grüße und einen schönen Tag, dein REWE Team."
"212","@Sinneswandlerin Danke, wir melden uns nach Prüfung bei dir per E-Mail!"
"213","Winterzeit ist Kohlzeit - In unserem Online-Shop gibt es nun das reinste Kohl-Special: http://t.co/PBb6tu5Zhe #REWE http://t.co/VPVwW8m0Am"
"214","@Sinneswandlerin Lass und doch per DM bitte deine Bestellnummer zukommen. Wir schauen uns das gerne einmal an. Viele Grüße!"
"215","@1Ginaaa Leider nein, tut uns leid!"
"216","@zuvielschichten Wenn wir ihn irgendwann im Sortiment haben, melden wir uns bei dir ;)"
"217","@hluecke Das freut uns zu hören!"
